Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,2,SW322-ND,SWITCH ROCKER SPST 16A 125V,,2,0,1.03000,2.06,
2,2,CKN10699-ND,SWITCH ROTARY 4POS 500MA 24V,,2,0,2.27000,4.54,
3,6,987-1398-ND,ENCODER 11MM ROTARY SW TOP ADJ,,6,0,1.22000,7.32,
4,2,576-3855-5-ND,IC REG BUCK 3.3V 0.5A 8DIP,,2,0,1.49000,2.98,
5,2,576-1518-5-ND,IC REG BUCK 5V 3A TO220-5,,2,0,1.84000,3.68,
6,2,AD5262BRUZ200-ND,IC POT DUAL 200K 256POS 16TSSOP,,2,0,5.49000,10.98,
7,2,PTV09A-4030U-B204-ND,POT 200K OHM 1/20W CARBON LINEAR,,2,0,0.83000,1.66,
8,3,PIC24FJ256GA702-I/SP-ND,IC MCU 16-BIT 256KB FLASH 28SDIP,,3,0,2.10000,6.30,
9,3,PIC18F26K40-I/SP-ND,IC MCU 8BIT 64KB FLASH 28SDIP,,3,0,1.75000,5.25,
10,2,LM6172IN/NOPB-ND,IC OPAMP VFB 100MHZ 8DIP,,2,0,3.82000,7.64,
11,2,296-1577-5-ND,IC HEX SCHMITT-TRIG INV 14-DIP,,2,0,0.54000,1.08,
12,4,493-14344-1-ND,CAP ALUM 10UF 10% 16V RADIAL,,4,0,0.30000,1.20,
13,4,399-9858-1-ND,CAP CER 10000PF 50V X7R RADIAL,,4,0,0.26000,1.04,
14,18,BC1084CT-ND,CAP CER 0.1UF 50V X7R RADIAL,,18,0,0.15400,2.77,
15,2,296-1411-5-ND,IC OSC SINGLE TIMER 100KHZ 8-DIP,,2,0,0.44000,0.88,
16,2,CF14JT47K0CT-ND,RES 47K OHM 1/4W 5% AXIAL,,2,0,0.10000,0.20,
17,4,CF12JT5K60CT-ND,RES 5.6K OHM 1/2W 5% AXIAL,,4,0,0.10000,0.40,
18,2,445-173115-1-ND,CAP CER 22UF 16V X7R RADIAL,,2,0,0.86000,1.72,
19,2,493-15344-ND,CAP ALUM 220UF 10% 10V RADIAL,,2,0,0.53000,1.06,
20,4,RLB0914-331KL-ND,FIXED IND 330UH 600MA 760 MOHM,,4,0,0.32000,1.28,
21,12,1655-1005-ND,DIODE SCHOTTKY 15V TO220AC,,12,0,0.65700,7.88,
22,6,UKL1E101KPDANA-ND,CAP ALUM 100UF 10% 25V RADIAL,,6,0,0.51000,3.06,
23,2,493-14480-ND,CAP ALUM 330UF 10% 16V RADIAL,,2,0,0.78000,1.56,
24,4,490-8676-ND,CAP CER 2PF 50V NP0 RADIAL,,4,0,0.32000,1.28,
25,30,RNF14FTD20K0CT-ND,RES 20K OHM 1/4W 1% AXIAL,,30,0,0.04960,1.49,
26,2,33KADCT-ND,RES 33K OHM 1/4W 0.1% AXIAL,,2,0,0.46000,0.92,
27,4,CF14JT10K0CT-ND,RES 10K OHM 1/4W 5% AXIAL,,4,0,0.10000,0.40,
28,30,20KADCT-ND,RES 20K OHM 1/4W 0.1% AXIAL,,30,0,0.26800,8.04,
29,2,1528-1394-ND,2.1MM DC BARREL PLUG TO ALLIGATR,,2,0,1.95000,3.90,
30,2,1568-1510-ND,DC BARREL JACK ADAPTER - FEMALE,,2,0,2.95000,5.90,
31,4,CF14JT330RCT-ND,RES 330 OHM 1/4W 5% AXIAL,,4,0,0.10000,0.40,
32,40,10KADCT-ND,RES 10K OHM 1/4W 0.1% AXIAL,,40,0,0.26800,10.72,
33,2,490-14506-ND,CAP CER 10UF 25V X7S RADIAL,,2,0,0.71000,1.42,
34,2,CKN10706-ND,RM SERIES CAP-TYPE A-BLK,,2,0,0.34000,0.68,
